scheme_id,scheme_name,description,target_occupation,target_interest,area_type,benefit_type,eligibility,priority_score,start_date,end_date
SCH026,PM SVANidhi (PM Street Vendor's AtmaNirbhar Nidhi),Provides working capital loans of Rs. 10000 to Rs. 50000 to street vendors to restart businesses. Benefits urban informal sector workers and daily wage earners.,Worker,finance,Urban,Loan,"For Worker participants; Focuses on st, urban",7,2023-01-01,2027-12-31
SCH040,National Health Mission (NHM),Strengthens healthcare infrastructure for universal access to equitable affordable quality healthcare for workers and their families. Covers rural and urban health programs.,Worker,health,Urban,Healthcare,"For Worker participants; Focuses on st, rural, urban",7,2023-01-01,2027-09-22
SCH041,Swachh Bharat Mission - Urban and Gramin,Aims to eliminate open defecation and improve sanitation and hygiene to protect public health. Provides toilet construction subsidies and community sanitation improvements.,Worker,health,Urban,Healthcare,For Worker participants; Focuses on st,7,2023-01-01,2027-09-19
SCH092,STEP Scheme (Support to Training and Employment Programme for Women),Provides skills and competencies to marginalized women to become self-reliant through training in traditional and emerging sectors. Covers women above 16 years in rural and urban areas.,Worker,technology,Urban,Subsidy,"For Women participants; Focuses on women, rural, urban",7,2023-01-01,2028-02-28
SCH023,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Guarantees 100 days of wage employment per year to every rural household whose adult members do unskilled manual work. Provides a legal right to employment for rural workers.,Worker,technology,Rural,Training,For Worker participants; Focuses on rural,7,2023-01-01,2029-03-31
SCH024,National Rural Livelihood Mission (DAY-NRLM),Organizes rural poor into Self Help Groups and provides skills and credit for self-employment. Supports rural workers in accessing livelihood opportunities and micro-enterprise.,Worker,technology,Rural,Loan,"For Worker participants; Focuses on rural, poor",7,2023-01-01,2028-12-31
SCH025,Pradhan Mantri Garib Kalyan Rozgar Abhiyan,A comprehensive employment scheme providing work to migrant laborers returning to villages with focus on rural infrastructure creation. Targets daily wage workers.,Worker,community,Rural,Job Opportunities,"For Worker participants; Focuses on sc, rural, st",7,2023-01-01,2027-06-30
SCH034,Aam Aadmi Bima Yojana (AABY),Provides death and disability insurance to rural landless household heads in 48 occupational groups. Scholarships for children of beneficiaries are also available.,Worker,health,Rural,Training,"For Worker participants; Focuses on rural, sc",7,2023-01-01,2027-08-31
SCH090,Mahila Shakti Kendra (MSK),Empowers rural women through community engagement providing skill development employment digital literacy health and nutrition services. Operates through village-level community workers.,Worker,technology,Rural,Training,"For Women participants; Focuses on rural, women",7,2023-01-01,2028-11-26
SCH100,Women Entrepreneurship Platform (WEP) - NITI Aayog,A unified platform for women entrepreneurs providing access to incubation funding mentorship market linkages and networking. Supports women at all stages of entrepreneurship from ideation to scaling.,Worker,technology,All,Subsidy,"For Women participants; Focuses on women, st, sc",8,2023-01-01,2028-09-30
SCH107,Crafts Initiative 107,"Supplemental scheme for crafts interest, including new services and community programs.",Worker,technology,All,Support,"For Worker participants; Focuses on sc, st",8,2023-01-01,2030-12-31
SCH147,Crafts Initiative 147,"Supplemental scheme for crafts interest, including new services and community programs.",Worker,technology,All,Support,"For Worker participants; Focuses on sc, st",8,2023-01-01,2030-12-31
SCH127,Crafts Initiative 127,"Supplemental scheme for crafts interest, including new services and community programs.",Worker,technology,All,Support,"For Worker participants; Focuses on sc, st",8,2023-01-01,2030-12-31
SCH167,Crafts Initiative 167,"Supplemental scheme for crafts interest, including new services and community programs.",Worker,technology,All,Support,"For Worker participants; Focuses on sc, st",8,2023-01-01,2030-12-31
SCH187,Crafts Initiative 187,"Supplemental scheme for crafts interest, including new services and community programs.",Worker,technology,All,Support,"For Worker participants; Focuses on sc, st",8,2023-01-01,2030-12-31
SCH086,Beti Bachao Beti Padhao Yojana (BBBP),Addresses declining Child Sex Ratio and promotes education welfare and protection of the girl child. Focuses on public awareness and convergent action in 640 districts.,Worker,community,All,Training,For Women participants; Focuses on st,7,2023-01-01,2028-04-05
SCH027,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Provides life insurance cover of Rs. 2 lakhs to enrolled workers for a renewable annual premium of Rs. 436. Available to workers aged 18-50 with a bank account.,Worker,health,All,Healthcare,For Worker participants,7,2023-01-01,2028-06-15
SCH030,Rashtriya Swasthya Bima Yojana (RSBY),Provides cashless health insurance of Rs. 30000 per year to BPL workers and unorganized sector employees. Covers hospitalization costs for the worker and their family.,Worker,health,All,Healthcare,"For Worker participants; Focuses on bpl, st",7,2023-01-01,2027-09-30
SCH031,Employees' State Insurance (ESI) Scheme,Provides medical maternity disability and dependent benefits to factory and establishment workers. Covers workers earning up to Rs. 21000 per month in registered establishments.,Worker,health,All,Healthcare,For Worker participants; Focuses on st,7,2023-01-01,2029-01-31
SCH032,Building and Other Construction Workers (BOCW) Welfare Scheme,Provides pension maternity education health and housing benefits to construction workers registered with state welfare boards. Covers a largely unorganized labor force.,Worker,health,All,Training,For Worker participants; Focuses on st,7,2023-01-01,2028-11-05
SCH037,ESIC Medical Benefit Scheme,Provides full medical care to workers and their family members registered under ESI. Covers outpatient inpatient and specialist treatment through ESIC hospitals and dispensaries.,Worker,health,All,Healthcare,For Worker participants; Focuses on st,7,2023-01-01,2028-07-31
