booth_id,area_type,issue
Booth_01,Semi-Urban,Healthcare Access (for Senior Citizens)
Booth_02,Urban,Startup Ecosystem Support (for Entrepreneurs)
Booth_03,Rural,Agriculture Support (for Farmers)
Booth_04,Rural,Electricity Supply (for Households)
Booth_05,Rural,Road Connectivity (for Villagers)
Booth_06,Urban,Job Opportunities (for Students / Youth)
Booth_07,Semi-Urban,Skill Development (for Students / Unemployed)
Booth_08,Semi-Urban,Healthcare Access (for Senior Citizens)
Booth_09,Semi-Urban,Job Opportunities (for Students / Youth)
Booth_10,Urban,Waste Management (for Residents)
Booth_11,Rural,Road Connectivity (for Villagers)
Booth_12,Urban,Startup Ecosystem Support (for Entrepreneurs)
Booth_13,Urban,Public Transport Improvement (for Commuters)
Booth_14,Semi-Urban,Pension Awareness (for Senior Citizens)
Booth_15,Semi-Urban,Job Opportunities (for Students / Youth)
Booth_16,Urban,Skill Development (for Students / Unemployed)
Booth_17,Rural,Road Connectivity (for Villagers)
Booth_18,Urban,Startup Ecosystem Support (for Entrepreneurs)
Booth_19,Urban,Skill Development (for Students / Unemployed)
Booth_20,Rural,Healthcare Access (for Senior Citizens)
Booth_21,Urban,Skill Development (for Students / Unemployed)
Booth_22,Semi-Urban,Pension Awareness (for Senior Citizens)
Booth_23,Semi-Urban,Healthcare Access (for Senior Citizens)
Booth_24,Rural,Agriculture Support (for Farmers)
Booth_25,Rural,Irrigation Problems (for Farmers)
